Nom_Intersection,Longitude,Latitude,total
Côte-Vertu / Lebeau,-73.673885,45.521043,24771
Côte-Vertu / Montpellier,-73.672152,45.523785,18672
Côte-Vertu / Muir,-73.681548,45.515199,20475
Côte-Vertu / Saint-Germain,-73.585063,45.574046,19083
rue Jean-Talon / rue de Cannes,-73.694607,45.524601,9776
Cléroux / O'Brien,-73.688732,45.52089,6602
Deguire / O'Brien,-73.691558,45.522644,5926
O'Brien / Poirier,-73.683136,45.517372,8441
O'Brien / Rochon,-73.685955,45.519117,6878
O'Brien / Tassé,-73.593962,45.475174,6932
Courcelle / Saint-Antoine/Saint-Jacques,-73.578712,45.482442,24327
Atwater / Delisle,-73.57798,45.481231,8363
Atwater / Notre-Dame,-73.577291,45.480621,9715
Atwater / Duvernay/Atwater stationnement,-73.567191,45.490098,7956
Guy / Notre-Dame,-73.580468,45.479871,4641
Notre-Dame / Rose-de-Lima,-73.568947,45.487691,3001
Notre-Dame / Seigneurs,-73.608164,45.462221,4687
Notre-Dame / place Turcot int. Ouest,-73.563755,45.494298,3330
Jean-D'Estrées / Murray / Notre-Dame,-73.573152,45.484174,4989
rue du Dominion / rue Notre-Dame,-73.587967,45.473613,2693
rue Thérien / rue Notre-Dame,-73.651335,45.440954,2863
Notre-Dame / Saint-Joseph,-73.633868,45.450343,5152
Sainte-Anne-de-Bellevue / Voie de service A20 Ouest,-73.632153,45.449553,9180
Notre-Dame / Sainte-Anne-de-Bellevue,-73.629729,45.450676,6178
Notre-Dame / rue de la Berge du Canal,-73.628387,45.451475,5332
